ORI	DES	TIME	ARR
MNL	SIN	1417315200	1417328400
HKG	MNL	1417315200	1417322400
HKG	YYZ	1417315200	1417368600
JED	DXB	1417315200	1417325400
SIN	JNB	1417315200	1417353900
KUL	SIN	1417315500	1417319100
CTU	PVG	1417315500	1417325100
MNL	TPE	1417315500	1417322700
NRT	MNL	1417315500	1417333500
BOM	DEL	1417315500	1417323600
GRU	MCO	1417315500	1417348800
NRT	TPE	1417315500	1417329900
SYD	BNE	1417315500	1417320900
CAN	SIN	1417315500	1417330200
SYD	SIN	1417315500	1417345500
SIN	DXB	1417315500	1417342800
SIN	MEL	1417315500	1417342500
SVO	MAD	1417315500	1417335300
SIN	HKG	1417315800	1417330200
CAN	CTU	1417315800	1417325100
CTU	CAN	1417315800	1417324200
NRT	DEL	1417315800	1417351800
HKG	KUL	1417315800	1417329600
TPE	HKG	1417315800	1417322400
CGK	SIN	1417315800	1417322400
HKG	SIN	1417316100	1417330800
TPE	PVG	1417316100	1417322700
GRU	JFK	1417316100	1417351800
CGK	KUL	1417316100	1417323300
PEK	GMP	1417316100	1417323000
SHA	PEK	1417316100	1417325100
SZX	PVG	1417316100	1417324500
RUH	JFK	1417316100	1417365000
CTU	PEK	1417316400	1417325700
PEK	CTU	1417316400	1417326900
MNL	HKG	1417316400	1417324800
AYT	SVO	1417316400	1417330500
CAN	SHA	1417316400	1417324800
HKG	PVG	1417316400	1417324800
BNE	MEL	1417316400	1417324800
MEL	BNE	1417316400	1417324200
MEL	SYD	1417316400	1417321500
SYD	MEL	1417316400	1417322100
TPE	NRT	1417316400	1417327500
AYT	DUS	1417316400	1417330800
NRT	HEL	1417316400	1417353600
CAN	PEK	1417316400	1417327800
PEK	CAN	1417316400	1417328100
PEK	SHA	1417316400	1417324500
DXB	DUB	1417316400	1417346400
DXB	RUH	1417316400	1417323600
KUL	DXB	1417316400	1417343400
GMP	SHA	1417316400	1417323300
NRT	CGK	1417316400	1417344600
AYT	BRU	1417316400	1417330500
SIN	KUL	1417316700	1417320300
BOM	DXB	1417316700	1417329000
DEL	BOM	1417316700	1417324500
AKL	SYD	1417316700	1417329600
SVO	CDG	1417316700	1417331400
HKG	TPE	1417316700	1417322400
DXB	JED	1417316700	1417327800
SHA	SZX	1417317000	1417327200
NRT	BOM	1417317000	1417356900
HKG	ORD	1417317000	1417369500
NRT	CDG	1417317000	1417362900
CGK	HKG	1417317000	1417335000
